10000 3
0.000164 0.676925 0.943757 
0.656801 0.992207 0.007173 
0.451942 0.927449 0.104244 
0.061044 0.994514 0.526325 
0.932763 0.168144 0.413770 
0.251391 0.401762 0.768479 
0.066470 0.942958 0.375460 
0.236506 0.335374 0.918643 
0.833485 0.363597 0.448723 
0.907872 0.387800 0.188068 
0.244678 0.526727 0.792579 
0.446780 0.416915 0.522128 
0.663998 0.587766 0.110703 
0.561404 0.132777 0.837439 
0.457654 0.633610 0.244210 
0.160237 0.707357 0.709220 
0.611918 0.348004 0.739436 
0.546985 0.490340 0.444815 
0.539792 0.925268 0.076314 
0.396476 0.522682 0.381726 
0.350614 0.171934 0.931249 
0.974604 0.036565 0.240194 
0.842520 0.217403 0.411677 
0.898361 0.444816 0.107116 
0.188210 0.741047 0.493400 
0.120861 0.425144 0.977029 
0.315390 0.334730 0.609069 
0.317451 0.883834 0.246340 
0.732074 0.485625 0.450248 
0.395011 0.674117 0.549304 
0.751438 0.332118 0.441454 
0.384139 0.345512 0.872017 
0.680556 0.253732 0.587025 
0.354186 0.211085 0.997139 
0.584954 0.492505 0.582372 
0.514498 0.701003 0.217641 
0.334380 0.123012 0.976508 
0.594127 0.569217 0.323581 
0.104132 0.597585 0.759280 
0.367367 0.340268 0.774750 
0.817488 0.311325 0.627317 
0.979062 0.020493 0.583261 
0.564030 0.263344 0.748880 
0.272704 0.742350 0.251928 
0.177279 0.681334 0.536838 
0.839685 0.183713 0.606094 
0.862153 0.061295 0.600753 
0.229526 0.575336 0.486606 
0.509648 0.564570 0.503485 
0.409474 0.868359 0.304687 
0.211712 0.719221 0.543217 
0.708357 0.046558 0.797814 
0.469086 0.289760 0.654524 
0.073029 0.836335 0.584142 
0.665453 0.188164 0.608986 
0.377104 0.614585 0.573563 
0.591245 0.611788 0.681132 
0.041504 0.644947 0.677160 
0.513250 0.329105 0.639417 
0.261208 0.348872 0.784982 
0.294461 0.467364 0.643179 
0.369683 0.925178 0.354235 
0.251966 0.685716 0.400727 
0.241927 0.467884 0.915349 
0.457679 0.744789 0.348349 
0.734335 0.475769 0.273407 
0.698349 0.071483 0.629610 
0.173862 0.749074 0.411112 
0.484749 0.436358 0.635884 
0.272926 0.183289 0.856722 
0.911416 0.064153 0.609217 
0.508550 0.068457 0.919900 
0.946010 0.158394 0.613447 
0.647590 0.350309 0.492965 
0.107294 0.471094 0.727179 
0.650572 0.843388 0.242503 
0.527471 0.258755 0.487944 
0.617085 0.720504 0.211122 
0.405036 0.283350 0.795837 
0.494786 0.878496 0.098269 
0.242015 0.650880 0.669627 
0.893277 0.419020 0.258660 
0.653740 0.376902 0.367501 
0.654495 0.661398 0.179464 
0.029367 0.955141 0.563168 
0.898017 0.388930 0.296048 
0.414258 0.422806 0.814370 
0.062093 0.791993 0.633677 
0.382397 0.756468 0.324920 
0.499708 0.596047 0.469869 
0.057508 0.745522 0.645247 
0.271461 0.438489 0.499904 
0.765825 0.094334 0.608489 
0.067159 0.904888 0.370100 
0.059239 0.696259 0.693951 
0.021326 0.406408 0.992984 
0.810302 0.390368 0.432628 
0.040426 0.684003 0.714304 
0.509912 0.533368 0.618267 
0.619663 0.585612 0.259005 
0.147100 0.957571 0.449141 
0.444199 0.477579 0.578292 
0.918553 0.465604 0.132424 
0.417014 0.651270 0.465060 
0.707136 0.274465 0.608706 
0.647191 0.444852 0.705754 
0.198068 0.380877 0.913562 
0.878886 0.087060 0.382804 
0.656427 0.865941 0.048772 
0.162085 0.788139 0.439111 
0.255156 0.545362 0.599996 
0.766620 0.702082 0.084330 
0.278214 0.986379 0.149701 
0.322371 0.817454 0.406327 
0.491435 0.725397 0.271860 
0.009406 0.626332 0.963385 
0.596173 0.446432 0.516689 
0.563029 0.484044 0.507714 
0.719200 0.718324 0.385078 
0.663654 0.600341 0.322723 
0.874139 0.059696 0.603308 
0.422985 0.457072 0.711301 
0.665182 0.255774 0.644022 
0.828690 0.520480 0.240057 
0.155166 0.521523 0.514685 
0.580064 0.548159 0.125557 
0.695516 0.258020 0.536745 
0.121912 0.637661 0.845660 
0.252889 0.754175 0.735684 
0.076859 0.585834 0.960370 
0.570042 0.568684 0.408072 
0.866406 0.029709 0.618078 
0.317234 0.758428 0.369910 
0.204443 0.428794 0.805945 
0.883551 0.415563 0.377931 
0.568218 0.206396 0.586551 
0.404849 0.310421 0.658357 
0.927665 0.259850 0.166532 
0.068208 0.531402 0.614726 
0.819889 0.354204 0.467169 
0.279920 0.644631 0.630546 
0.649261 0.608552 0.336639 
0.305692 0.629465 0.336220 
0.807649 0.307136 0.495549 
0.112525 0.881353 0.270097 
0.547956 0.185485 0.508413 
0.706649 0.100822 0.598906 
0.976587 0.042824 0.570368 
0.690560 0.408358 0.387975 
0.694791 0.567223 0.169114 
0.092810 0.999522 0.499761 
0.763164 0.454439 0.354700 
0.253620 0.982639 0.297637 
0.774867 0.570241 0.188563 
0.716451 0.182096 0.677819 
0.742709 0.000167 0.858499 
0.176576 0.779178 0.541630 
0.278785 0.202948 0.811649 
0.209318 0.846813 0.499531 
0.355243 0.403394 0.608984 
0.068940 0.455593 0.832323 
0.387680 0.194761 0.845391 
0.548252 0.517092 0.291919 
0.602181 0.166213 0.693563 
0.436696 0.082865 0.811139 
0.288135 0.476379 0.782826 
0.993810 0.467830 0.223872 
0.220601 0.180429 0.977616 
0.740117 0.125551 0.326034 
0.209705 0.785617 0.589840 
0.156669 0.704796 0.512772 
0.400243 0.197403 0.842436 
0.407780 0.775695 0.455149 
0.439161 0.009986 0.937994 
0.914915 0.264172 0.313788 
0.933122 0.420022 0.285777 
0.342723 0.982094 0.194810 
0.400532 0.157719 0.909741 
0.964711 0.243571 0.289207 
0.416565 0.753416 0.357122 
0.645189 0.072411 0.844755 
0.939728 0.548022 0.090492 
0.586415 0.705355 0.177389 
0.930774 0.703722 0.037616 
0.151465 0.873249 0.690821 
0.307145 0.312743 0.947731 
0.218055 0.847079 0.250992 
0.488563 0.444400 0.616637 
0.272551 0.442630 0.740987 
0.938567 0.007380 0.576036 
0.511174 0.187723 0.738584 
0.321936 0.744473 0.288735 
0.357152 0.802870 0.382497 
0.623124 0.399444 0.600857 
0.299091 0.482309 0.831448 
0.603814 0.348866 0.561122 
0.359969 0.870811 0.309409 
0.645743 0.440614 0.469729 
0.583368 0.534042 0.446328 
0.538190 0.357411 0.686637 
0.514975 0.627520 0.117331 
0.677802 0.305574 0.408460 
0.976764 0.108226 0.390336 
0.873629 0.213659 0.390391 
0.143881 0.844886 0.678265 
0.362792 0.074506 0.990914 
0.254808 0.781394 0.444895 
0.233539 0.817065 0.457356 
0.739976 0.754774 0.036335 
0.931266 0.213427 0.226324 
0.046887 0.643178 0.659931 
0.430674 0.227358 0.939545 
0.618550 0.029962 0.892353 
0.593954 0.143732 0.615958 
0.764187 0.479260 0.369999 
0.395616 0.455878 0.719790 
0.894501 0.317424 0.211793 
0.279446 0.682678 0.377298 
0.684590 0.302642 0.392337 
0.509374 0.687375 0.254098 
0.821876 0.463306 0.293110 
0.608899 0.798069 0.098064 
0.323882 0.981549 0.341640 
0.584290 0.569117 0.474147 
0.202277 0.384544 0.834847 
0.208171 0.310874 0.987103 
0.641243 0.339765 0.451632 
0.282392 0.738359 0.623230 
0.170549 0.949092 0.353539 
0.187872 0.845459 0.453770 
0.118208 0.418693 0.798790 
0.043211 0.932133 0.482649 
0.713043 0.368821 0.617700 
0.117265 0.783110 0.594129 
0.750452 0.572314 0.117010 
0.255741 0.708553 0.358042 
0.662721 0.408297 0.160119 
0.492644 0.852133 0.465194 
0.129680 0.451296 0.651180 
0.408535 0.773486 0.336252 
0.150449 0.704468 0.773120 
0.618764 0.272800 0.601633 
0.604927 0.125697 0.966556 
0.578210 0.095574 0.720475 
0.675565 0.232222 0.644770 
0.980657 0.127277 0.511788 
0.793642 0.281527 0.040083 
0.984210 0.649627 0.048522 
0.833312 0.006790 0.763880 
0.348674 0.678092 0.304599 
0.932225 0.264848 0.175046 
0.667207 0.366356 0.580740 
0.549820 0.447415 0.414382 
0.697763 0.324922 0.472605 
0.838464 0.085634 0.417352 
0.993925 0.081944 0.542842 
0.681892 0.185264 0.480537 
0.175637 0.703896 0.530756 
0.553651 0.632627 0.242048 
0.539311 0.295120 0.584252 
0.652402 0.212515 0.518932 
0.966244 0.161508 0.414947 
0.318503 0.465913 0.654676 
0.489844 0.824291 0.118498 
0.240742 0.973228 0.383185 
0.276869 0.465022 0.946043 
0.583577 0.573701 0.430479 
0.284339 0.548149 0.846298 
0.568064 0.552185 0.438080 
0.617297 0.286063 0.539112 
0.648550 0.262661 0.681049 
0.392726 0.048963 0.972576 
0.566990 0.430754 0.548582 
0.356040 0.875423 0.564326 
0.147554 0.467726 0.705168 
0.814504 0.370606 0.463664 
0.530753 0.932297 0.150251 
0.506926 0.084313 0.958035 
0.476555 0.314885 0.572311 
0.759783 0.514028 0.342129 
0.314226 0.472720 0.768989 
0.588660 0.262011 0.569256 
0.808233 0.022857 0.675549 
0.174704 0.906009 0.392465 
0.611181 0.933338 0.118847 
0.133498 0.725915 0.770681 
0.517577 0.491086 0.420931 
0.694651 0.315448 0.478765 
0.620692 0.428600 0.524674 
0.780566 0.592126 0.146323 
0.731817 0.162866 0.598001 
0.022240 0.642953 0.866479 
0.947328 0.166358 0.404240 
0.414657 0.892740 0.223641 
0.161440 0.751828 0.688494 
0.664235 0.356145 0.338838 
0.153479 0.969449 0.168833 
0.309813 0.918996 0.526622 
0.299235 0.401481 0.910415 
0.707940 0.204632 0.322461 
0.315597 0.911001 0.289896 
0.661585 0.299679 0.475530 
0.382118 0.228005 0.705625 
0.342372 0.637634 0.385421 
0.481248 0.132612 0.804887 
0.785798 0.079362 0.338997 
0.415435 0.387612 0.561647 
0.417966 0.617621 0.221571 
0.041471 0.609047 0.785883 
0.499666 0.782227 0.185715 
0.775863 0.711575 0.114641 
0.455892 0.364254 0.687079 
0.564769 0.721896 0.345297 
0.669298 0.257086 0.612085 
0.384241 0.519605 0.798547 
0.106676 0.670124 0.550164 
0.490671 0.200967 0.703226 
0.571374 0.532115 0.395139 
0.287257 0.494838 0.672844 
0.172421 0.950762 0.375691 
0.280305 0.681225 0.509495 
0.475882 0.343953 0.568884 
0.327381 0.315887 0.978741 
