Cube        ,db=1, M=0.100000, 0.274329
Cube LIB       ,db=10000, M=0.100000, 0.423095
Sphere      ,db=1, M=0.100000, 0.043823
Sphere LIB     ,db=1, M=0.100000 , 0.449272
ImpGreedy      ,db=1, M=0.100000, 0.061560
ImpGreedy LIB       ,db=0.100000, M=1, 0.490713
Cube        ,db=1, M=0.100000, 0.269210
Cube LIB       ,db=10000, M=0.100000, 0.437651
Sphere      ,db=1, M=0.100000, 0.050149
Sphere LIB     ,db=1, M=0.100000 , 0.500056
ImpGreedy      ,db=1, M=0.100000, 0.060367
ImpGreedy LIB       ,db=0.100000, M=1, 0.489780
Cube        ,db=1, M=0.100000, 0.265807
Cube LIB       ,db=10000, M=0.100000, 0.458335
Sphere      ,db=1, M=0.100000, 0.046300
Sphere LIB     ,db=1, M=0.100000 , 0.451601
ImpGreedy      ,db=1, M=0.100000, 0.057435
ImpGreedy LIB       ,db=0.100000, M=1, 0.431878
Cube        ,db=1, M=0.100000, 0.289097
Cube LIB       ,db=10000, M=0.100000, 0.430260
Sphere      ,db=1, M=0.100000, 0.044151
Sphere LIB     ,db=1, M=0.100000 , 0.419366
ImpGreedy      ,db=1, M=0.100000, 0.052500
ImpGreedy LIB       ,db=0.100000, M=1, 0.415433
Cube        ,db=1, M=0.100000, 0.293340
Cube LIB       ,db=10000, M=0.100000, 0.440345
Sphere      ,db=1, M=0.100000, 0.053387
Sphere LIB     ,db=1, M=0.100000 , 0.457968
ImpGreedy      ,db=1, M=0.100000, 0.051724
ImpGreedy LIB       ,db=0.100000, M=1, 0.434495
Cube        ,db=1, M=0.100000, 0.303890
Cube LIB       ,db=10000, M=0.100000, 0.461760
Sphere      ,db=1, M=0.100000, 0.051674
Sphere LIB     ,db=1, M=0.100000 , 0.449500
ImpGreedy      ,db=1, M=0.100000, 0.054392
ImpGreedy LIB       ,db=0.100000, M=1, 0.452369
Cube        ,db=1, M=0.100000, 0.297886
Cube LIB       ,db=10000, M=0.100000, 0.462263
Sphere      ,db=1, M=0.100000, 0.052657
Sphere LIB     ,db=1, M=0.100000 , 0.461705
ImpGreedy      ,db=1, M=0.100000, 0.054679
ImpGreedy LIB       ,db=0.100000, M=1, 0.448026
Cube        ,db=1, M=0.100000, 0.309136
Cube LIB       ,db=10000, M=0.100000, 0.459002
Sphere      ,db=1, M=0.100000, 0.051187
Sphere LIB     ,db=1, M=0.100000 , 0.447180
ImpGreedy      ,db=1, M=0.100000, 0.054329
ImpGreedy LIB       ,db=0.100000, M=1, 0.448820
Cube        ,db=1, M=0.100000, 0.309149
Cube LIB       ,db=10000, M=0.100000, 0.451717
Sphere      ,db=1, M=0.100000, 0.050585
Sphere LIB     ,db=1, M=0.100000 , 0.454957
ImpGreedy      ,db=1, M=0.100000, 0.052812
ImpGreedy LIB       ,db=0.100000, M=1, 0.452890
Cube        ,db=1, M=0.100000, 0.310054
Cube LIB       ,db=10000, M=0.100000, 0.448978
Sphere      ,db=1, M=0.100000, 0.049813
Sphere LIB     ,db=1, M=0.100000 , 0.448410
ImpGreedy      ,db=1, M=0.100000, 0.052608
ImpGreedy LIB       ,db=0.100000, M=1, 0.447710
Cube        ,db=2, M=0.200000, 0.300775
Cube LIB       ,db=10000, M=0.200000, 0.430004
Sphere      ,db=2, M=0.200000, 0.058248
Sphere LIB     ,db=2, M=0.200000 , 0.450025
ImpGreedy      ,db=2, M=0.200000, 0.064565
ImpGreedy LIB       ,db=0.200000, M=2, 0.416173
Cube        ,db=2, M=0.200000, 0.346425
Cube LIB       ,db=10000, M=0.200000, 0.422977
Sphere      ,db=2, M=0.200000, 0.057631
Sphere LIB     ,db=2, M=0.200000 , 0.404508
ImpGreedy      ,db=2, M=0.200000, 0.059352
ImpGreedy LIB       ,db=0.200000, M=2, 0.378259
Cube        ,db=2, M=0.200000, 0.340177
Cube LIB       ,db=10000, M=0.200000, 0.421669
Sphere      ,db=2, M=0.200000, 0.053099
Sphere LIB     ,db=2, M=0.200000 , 0.377004
ImpGreedy      ,db=2, M=0.200000, 0.054207
ImpGreedy LIB       ,db=0.200000, M=2, 0.342751
Cube        ,db=2, M=0.200000, 0.343604
Cube LIB       ,db=10000, M=0.200000, 0.392108
Sphere      ,db=2, M=0.200000, 0.057051
Sphere LIB     ,db=2, M=0.200000 , 0.392379
ImpGreedy      ,db=2, M=0.200000, 0.054845
ImpGreedy LIB       ,db=0.200000, M=2, 0.361072
Cube        ,db=2, M=0.200000, 0.332675
Cube LIB       ,db=10000, M=0.200000, 0.413403
Sphere      ,db=2, M=0.200000, 0.057285
Sphere LIB     ,db=2, M=0.200000 , 0.387075
ImpGreedy      ,db=2, M=0.200000, 0.057600
